DISTRICT,YEAR,monsoon_precip,monsoon_z,drought,mam_T2M,mam_T2M_MAX,mam_T2M_MIN,mam_T2M_RANGE,mam_RH2M,mam_QV2M,mam_PS,mam_WS10M,mam_PRECTOT,djf_T2M,djf_RH2M,djf_PRECTOT,prev_monsoon_precip,prev_monsoon_z,LAT,LON
Baitadi,1989,176.96,-1.2134504756799103,1,10.910000000000002,18.51,3.9333333333333336,14.583333333333334,30.23,3.3333333333333335,73.77333333333333,2.733333333333333,35.41,1.6266666666666667,40.76666666666667,49.96,377.5,0.019480860378775857,29.5,80.5
Baitadi,1990,297.26,-0.47383922741093687,0,10.243333333333334,17.24,3.953333333333333,13.286666666666667,44.94,4.79,73.77333333333333,2.6166666666666667,57.52,3.1833333333333336,39.49333333333333,55.669999999999995,176.96,-1.2134504756799103,29.5,80.5
Baitadi,1991,182.85999999999999,-1.1771769398130199,1,10.883333333333333,18.366666666666664,3.84,14.523333333333333,35.83,3.84,73.88333333333334,2.723333333333333,82.28999999999999,2.07,40.45666666666667,29.66,297.26,-0.47383922741093687,29.5,80.5
Baitadi,1992,230.59,-0.883730182706801,1,11.040000000000001,18.569999999999997,4.406666666666666,14.163333333333332,31.323333333333334,3.5033333333333334,73.87,2.7266666666666666,17.700000000000003,2.2733333333333334,41.153333333333336,25.39,182.85999999999999,-1.1771769398130199,29.5,80.5
Baitadi,1993,196.17,-1.095346302120085,1,10.163333333333334,17.57,3.39,14.183333333333332,38.276666666666664,4.0,73.86,2.7266666666666666,51.7,2.8066666666666666,38.36333333333334,22.21,230.59,-0.883730182706801,29.5,80.5
Baitadi,1994,291.86,-0.5070387348145315,0,11.420000000000002,19.06,4.446666666666666,14.61,33.25,3.8366666666666664,73.87666666666667,2.8033333333333332,22.56,2.6533333333333333,36.1,38.62,196.17,-1.095346302120085,29.5,80.5
Baitadi,1995,251.85,-0.7530224924474629,0,11.070000000000002,18.276666666666667,4.52,13.756666666666666,35.49,3.97,73.86666666666667,2.6833333333333336,18.56,0.8400000000000002,44.24666666666667,56.47,291.86,-0.5070387348145315,29.5,80.5
Baitadi,1996,323.29,-0.31380530561175646,0,11.226666666666667,18.596666666666668,4.48,14.12,39.483333333333334,4.406666666666666,73.80666666666667,2.6833333333333336,50.33,1.9766666666666666,44.25666666666667,75.35,251.85,-0.7530224924474629,29.5,80.5
Baitadi,1997,247.15,-0.7819183600024435,0,9.766666666666667,16.80666666666667,3.4933333333333336,13.31,41.27333333333333,4.213333333333334,73.86666666666666,2.626666666666667,61.800000000000004,1.9633333333333336,32.72,7.470000000000001,323.29,-0.31380530561175646,29.5,80.5
Baitadi,1998,213.76999999999998,-0.9871405002120724,1,10.846666666666666,18.246666666666666,4.1000000000000005,14.143333333333333,41.339999999999996,4.523333333333333,73.92,2.6300000000000003,88.93,1.1533333333333333,45.70666666666667,65.58,247.15,-0.7819183600024435,29.5,80.5
Baitadi,1999,192.23,-1.1195696464108562,1,12.303333333333333,20.36,5.056666666666666,15.306666666666667,24.513333333333332,3.0833333333333335,73.75666666666666,2.856666666666667,18.44,3.6166666666666667,34.663333333333334,15.469999999999999,213.76999999999998,-0.9871405002120724,29.5,80.5
